	Motif_ID	TF_Names
716	M03438_2.00	Trp73
717	M03439_2.00	Trp53
718	M03440_2.00	Trp53
719	M03441_2.00	Trp53
720	M03442_2.00	Pax1
721	M03444_2.00	Pax9
722	M03445_2.00	Prox1;Prox2
723	M03458_2.00	Rfx5
724	M03461_2.00	Rfx2
725	M03462_2.00	Rfx2
726	M03463_2.00	Rfx3
727	M03475_2.00	Nfix
728	M03532_2.00	Tcf7
729	M03533_2.00	Sox17
730	M03534_2.00	Sox17
731	M03535_2.00	Sox10
732	M03536_2.00	Sox10
733	M03537_2.00	Sox10
734	M03538_2.00	Sox3
735	M03539_2.00	Sox3
736	M03540_2.00	Sox3
737	M03541_2.00	Sox11
738	M03542_2.00	Sox1
739	M03543_2.00	Sox1
740	M03544_2.00	Sox1
741	M03545_2.00	Sox1
742	M03554_2.00	Tbx15
743	M03562_2.00	Tbx19
744	M03649_2.00	Crebl2
745	M03682_2.00	Sp6
746	M03761_2.00	Trps1
747	M04018_2.00	Atf6
748	M04041_2.00	Atf6b
749	M04139_2.00	Hes6
750	M04140_2.00	Ferd3l
751	M04148_2.00	Neurod4
752	M04150_2.00	Hand2
753	M04193_2.00	Atoh7
754	M04388_2.00	Dpf3
755	M04390_2.00	Zbtb32
756	M04398_2.00	Zfp523
757	M04414_2.00	Zfp174
758	M04433_2.00	Zbtb45
759	M04451_2.00	Zfp384
760	M04453_2.00	Bcl11b
761	M04455_2.00	Klf2
762	M04473_2.00	Zfp787
763	M04489_2.00	Klf10
764	M04495_2.00	Zfp276
765	M04515_2.00	Zfp12
766	M04533_2.00	Zbtb43
767	M04543_2.00	Zfp296
768	M04547_2.00	Zbtb26
769	M04549_2.00	Zfp110
770	M04560_2.00	Zfp449
771	M04571_2.00	Zfp454
772	M04589_2.00	Zfp771
773	M04595_2.00	Zbtb2
774	M04597_2.00	Zfp41
775	M04599_2.00	Zbtb20
776	M04603_2.00	Zbtb37
777	M04607_2.00	Snai3
778	M04619_2.00	Zfp647
779	M04637_2.00	Zfp580
780	M04645_2.00	Sp9
781	M04651_2.00	Zbtb22
782	M04661_2.00	Ybx1;Ybx2;Ybx3
783	M04663_2.00	Lin28a;Lin28b
784	M04845_2.00	Foxe1;Foxe3
785	M04893_2.00	Ubp1
786	M05057_2.00	Hoxb1
787	M05184_2.00	Nkx6-2
788	M05233_2.00	Tlx3
789	M05273_2.00	Hoxd4
790	M05519_2.00	Hsf5
791	M05581_2.00	Ppard
792	M05627_2.00	Nr6a1
793	M05685_2.00	Pax8
794	M05797_2.00	Tbx18
795	M05805_2.00	Tbx6
796	M05833_2.00	Tfe3
797	M05844_2.00	Zeb1
798	M05848_2.00	Zfp14
799	M05857_2.00	Zfp777
800	M05859_2.00	Sp4
801	M05860_2.00	Egr1
802	M05867_2.00	Gata3
803	M05884_2.00	Pparg
804	M05885_2.00	Rarg
805	M05886_2.00	Nr3c1
806	M05888_2.00	Rfx2
807	M05889_2.00	Smad4
808	M06465_2.00	Plag1
809	M07562_2.00	Zkscan2
810	M07566_2.00	Zfp324
