	Motif_ID	TF_Names
440	M00802_2.00	Pou1f1
441	M00803_2.00	Pou2f1
442	M00804_2.00	Pou3f1
443	M00805_2.00	Irf2
444	M00806_2.00	Mecp2
445	M00807_2.00	Mybl2
446	M00808_2.00	Mypop
447	M00809_2.00	Prdm11
448	M00810_2.00	Nr1h5::Nr4a3::Nr6a1::Ppard::Rarg
449	M00811_2.00	Nr1h5::Nr2f6::Nr4a3::Nr6a1::Ppard::Thrb
450	M00812_2.00	Nr1h5::Nr2c1::Nr4a3::Nr6a1::Ppard
451	M00813_2.00	Esr1
452	M00814_2.00	Nr2e1
453	M00815_2.00	Esrrb
454	M00816_2.00	Nr5a2::Ppard
455	M00817_2.00	Esrrg
456	M00818_2.00	Nr4a2::Nr4a3::Ppard
457	M00819_2.00	Nr1h5::Nr4a3::Nr6a1::Ppard::Rora::Thrb
458	M00820_2.00	Nr1h5::Nr4a3::Nr6a1::Ppard::Rorb::Thrb
459	M00821_2.00	Ar::Nr3c2
460	M00822_2.00	Nr1h5::Nr2f1::Nr4a3::Nr6a1::Ppard::Thrb
461	M00823_2.00	Rfx5::Rfx7
462	M00824_2.00	Gmeb2
463	M00825_2.00	Sp140::XP_001473574.2
464	M00826_2.00	Sox10
465	M00827_2.00	Sox3
466	M00828_2.00	Sox6
467	M00829_2.00	Sox14
468	M00830_2.00	Tbx2
469	M00831_2.00	Tbx4
470	M00832_2.00	Tbx1::Tbx10
471	M00833_2.00	Tbx5
